,file_name,mean,std,min,max
329,202208032010.nc,0.109190606,0.8754931,0.0,98.369995
330,202206071220.nc,0.4630522,1.8985888,0.0,99.22
331,202307211230.nc,1.6315241,7.62643,0.0,98.82
332,202107131240.nc,0.52435476,3.2557678,0.0,99.4
333,202307180040.nc,0.25921634,1.6436168,0.0,99.54
334,202208231200.nc,0.16533998,1.3734813,0.0,99.009995
335,202208151630.nc,2.0513217,8.810888,0.0,99.7
336,202207080350.nc,0.32183093,2.0978992,0.0,99.57
337,202107151600.nc,0.5801043,2.0852954,0.0,99.4
338,202207200010.nc,0.5283677,3.2336967,0.0,99.7
339,202206280050.nc,0.86578906,2.5254936,0.0,98.57
340,202307220950.nc,0.95068634,5.3817368,0.0,98.28
341,202206221340.nc,0.871855,3.7326083,0.0,92.42
342,202308081850.nc,0.5088785,3.0839999,0.0,97.479996
343,202307011540.nc,0.41983753,2.3919702,0.0,94.4
344,202307012140.nc,0.3055669,1.2664804,0.0,99.7
345,202107071850.nc,0.5681703,1.5012482,0.0,98.4
346,202208301620.nc,0.25592065,1.2910305,0.0,99.7
347,202307312040.nc,0.44226554,2.609693,0.0,99.7
348,202106112330.nc,0.5864741,2.1631844,0.0,99.4
349,202209050210.nc,1.8968589,4.008506,0.0,99.799995
350,202307021700.nc,0.83787817,3.2638335,0.0,99.659996
351,202308121340.nc,0.17137137,0.82235575,0.0,57.32
352,202306282310.nc,0.9027202,3.733037,0.0,97.5
353,202207051410.nc,1.2367886,5.207118,0.0,99.46
354,202107030330.nc,3.0596411,7.524429,0.0,99.4
355,202208112130.nc,0.77527386,5.417285,0.0,99.7
356,202207271850.nc,0.25764936,1.2108269,0.0,98.1
357,202206050910.nc,0.80269545,1.8647344,0.0,98.88
358,202208150110.nc,1.3142567,7.0004563,0.0,99.25
359,202307131250.nc,0.91498274,2.8205645,0.0,99.7
360,202106201210.nc,0.32970443,0.93906677,0.0,97.75
361,202307300430.nc,0.69291615,2.3088987,0.0,98.1
362,202106081640.nc,0.33755016,1.1065671,0.0,81.7
363,202306172100.nc,1.1495891,5.6450872,0.0,99.7
364,202207151130.nc,0.40500814,1.4088823,0.0,93.729996
365,202107212230.nc,0.44068307,1.2007718,0.0,95.409996
366,202308301150.nc,0.35087717,1.2669754,0.0,99.7
367,202207190520.nc,0.99319863,4.6749034,0.0,97.57
368,202207130210.nc,0.30790904,1.4383996,0.0,99.45
369,202107091930.nc,0.8331429,3.4182506,0.0,99.4
370,202106270710.nc,0.84371483,2.0540495,0.0,99.4
371,202106050510.nc,0.3855346,1.2658558,0.0,99.4
372,202106080910.nc,0.65848565,4.154276,0.0,95.34
373,202306042200.nc,0.2096104,0.7897665,0.0,98.1
374,202207091000.nc,0.48906308,2.9808095,0.0,98.5
375,202106141740.nc,1.2299292,4.9542685,0.0,99.229996
376,202107140820.nc,0.61793965,3.1056614,0.0,99.54
377,202207062340.nc,0.3119118,2.1620605,0.0,99.65
378,202307151820.nc,0.3308178,1.3557093,0.0,99.28
379,202208170930.nc,0.47119248,2.5411644,0.0,99.04
380,202208200910.nc,0.6444074,5.5374913,0.0,96.869995
381,202106281240.nc,0.22811376,1.0621824,0.0,99.59
382,202206010740.nc,0.41016224,1.2430842,0.0,98.1
383,202307221140.nc,0.69292223,3.438616,0.0,98.2
384,202206260250.nc,0.70466244,2.1612084,0.0,98.1
385,202206241530.nc,0.20105535,1.2250228,0.0,97.049995
386,202106141820.nc,1.4314641,6.262085,0.0,98.759995
387,202106071710.nc,0.31688234,1.3855029,0.0,83.32
388,202206141650.nc,0.41752467,2.051025,0.0,97.009995
389,202308181330.nc,0.2083624,1.5712368,0.0,98.1
390,202307170010.nc,0.3215603,1.2744112,0.0,99.659996
391,202107091110.nc,0.68251944,3.1660903,0.0,99.4
392,202306211400.nc,0.37336966,1.3164748,0.0,98.1
393,202209051140.nc,1.955183,6.3761387,0.0,99.799995
394,202208240110.nc,0.36021647,1.7359426,0.0,98.1
395,202306231830.nc,0.39637658,1.5295782,0.0,90.729996
